,date,team1,team2,prob1,probtie
0,2019-01-29,Arsenal,Cardiff City,0.7578,0.1666
1,2019-01-29,Manchester United,Burnley,0.6768,0.1993
2,2019-02-02,Chelsea,Huddersfield Town,0.7859999999999999,0.1728
3,2019-02-09,Southampton,Cardiff City,0.555,0.261
4,2019-02-26,Manchester City,West Ham United,0.8485,0.1109
5,2019-03-02,Wolverhampton,Cardiff City,0.5626,0.2653
6,2019-03-09,Leicester City,Fulham,0.5573,0.2554
7,2019-03-30,Crystal Palace,Huddersfield Town,0.5783,0.276
8,2019-04-13,Tottenham Hotspur,Huddersfield Town,0.8031,0.1545
9,2019-04-27,Liverpool,Huddersfield Town,0.8921,0.0931
